id,name,handle,niche,category,followers,imageUrl,image_name,bio,platforms,tiktok,instagram,youtube,tiktok_handle,instagram_handle,youtube_handle,gender_male,gender_female,age_data,country_data
1,Affeaufbike,@affeaufbike,Travel / Outdoor,Lifestyle & Health,1.4M,/vi/images/creators/affeaufbike.jpeg,,"Adventurer and author known for her solo motorcycle world tours and authentic storytelling.","TikTok, Instagram, YouTube",652.4K,533K,234K,,,,35%,65%,"18-24:45%, 25-34:35%, 35-44:10%","Germany:85%, Austria:10%, Switzerland:5%"
2,Beac_basti,@beac_basti,Entertainment / Craftsmanship,Handwerk & DIY,1.3M,/vi/images/creators/beac_basti.jpeg,,"Known for humor-filled tutorials, streaming room upgrades, and relatable life hacks.","TikTok, Instagram, YouTube",1.1M,198K,8.4K,,,,70%,30%,"18-24:50%, 25-34:25%, 13-17:15%","Germany:90%, Austria:5%, Switzerland:5%"
3,Benberg.er,@benberg.er,Craftsmanship,Handwerk & DIY,338.8K,/vi/images/creators/benberg_er.jpeg,,"Skilled carpenter and engaging creator blending hands-on woodworking tutorials with candid takes on trade apprenticeships and industry challenges.","TikTok, Instagram, YouTube",138K,177K,23.8K,,,,80%,20%,"25-34:40%, 35-44:25%, 18-24:20%","Germany:95%, Austria:3%, Switzerland:2%"
4,Bens_hardware,@bens_hardware,Tech,Tech,674.8K,/vi/images/creators/bens_hardware.jpeg,,"Tech creator specializing in PC builds, hardware reviews, and gaming setup tutorials with a focus on making tech accessible and engaging.","TikTok, Instagram, YouTube",532.5K,83.6K,58.7K,,,,85%,15%,"18-24:45%, 25-34:30%, 13-17:15%","Germany:88%, Austria:6%, Switzerland:4%"
5,BigBangBash,@bigbangbash,DIY/Experimente,Handwerk & DIY,2.6M,/vi/images/creators/bigbangbash.jpeg,,"Creator known for humorous DIY projects, quirky experiments, and viral gadgets with a strong social media presence.","TikTok, Instagram, YouTube",2M,125K,510K,,,,60%,40%,"18-24:40%, 13-17:30%, 25-34:20%","Germany:80%, USA:10%, UK:5%"
6,Bruderholz,@bruderholz,Craftsmanship,Handwerk & DIY,15K,/vi/images/creators/bruderholz.png,,"Laurin and Yannes Bock, creative woodworking duo crafting unique, handcrafted cutting boards with a focus on sustainability and quality materials.",Instagram,,15K,,,,,55%,45%,"25-34:50%, 35-44:25%, 45+:15%","Germany:98%, Austria:1%, Switzerland:1%"
7,Claudelle.loves ,@claudelle.loves,Lifestyle / Health,Lifestyle & Health,213K,/vi/images/creators/claudelle_loves.jpeg,,"Actress and wellness creator sharing insights on healthy living, self-care, and personal growth.",Instagram,,213K,,,,,10%,90%,"35-44:40%, 25-34:35%, 45+:20%","Germany:92%, Austria:4%, Switzerland:4%"
8,Dachdeckerin Sina,@dachdeckerinsina,Craftsmanship,Handwerk & DIY,103.6K,/vi/images/creators/dachdeckerin_sina.png,,"Roofer sharing insights into her trade journey, aiming to inspire young people, especially women, to pursue careers in the trades.","TikTok, Instagram",34.2K,69.4K,,,,,40%,60%,"18-24:45%, 25-34:30%, 13-17:10%","Germany:96%, Austria:2%, Switzerland:2%"
9,Der moebelbock,@dermoebelbock,Craftsmanship,Handwerk & DIY,37.4K,/vi/images/creators/der_moebelbock.jpeg,,"Carpenter and creator focusing on creative woodworking projects; co-founder of BruderHolz with his brother Laurin Bock.","TikTok, Instagram",5K,32.4K,,,,,75%,25%,"25-34:45%, 35-44:30%, 18-24:15%","Germany:97%, Austria:2%, Switzerland:1%"
10,Der.Holzbock,@der.holzbock,Craftsmanship,Handwerk & DIY,603K,/vi/images/creators/der_holzbock.jpeg,,"Laurin Bock, known as @derholzbock.official, is a master carpenter and creator who shares practical woodworking tips and promotes craftsmanship. He co-founded BruderHolz with his brother Yannes, focusing on handcrafted wooden products.","TikTok, Instagram, YouTube",144K,325K,134K,,,,82%,18%,"25-34:40%, 35-44:30%, 18-24:15%","Germany:94%, Austria:3%, Switzerland:3%"
11,Jenni vom Dach,@jennivomdach,Craftsmanship,Handwerk & DIY,116K,/vi/images/creators/jenni_vom_dach.jpeg,,"German master roofer and creator from Munich. She shares authentic insights into her profession, highlighting the craftsmanship and artistry involved in roofing. Her content resonates with a wide audience, showcasing the intricate details of her work and the skills required. ",Instagram,,116K,,,,,45%,55%,"25-34:45%, 18-24:25%, 35-44:20%","Germany:95%, Austria:3%, Switzerland:2%"
12,Nikolaj.lu,@nikolaj.lu,Entertainment / Comedy,Entertainment,1.8M,/vi/images/creators/nikolaj_lu.jpeg,,"Creator who humorously contrasts rural and urban life. With over 1.1 million followers on TikTok and 256,000 on Instagram, he shares relatable skits about village life, driving lessons, and family dynamics. His content blends observational humor with everyday experiences, resonating with a wide audience.","TikTok, Instagram, YouTube",1.1M,263K,443K,,,,65%,35%,"18-24:55%, 13-17:20%, 25-34:15%","Germany:92%, Austria:5%, Switzerland:3%"
13,Schreinerin Mara,@schreinerinmara,Craftsmanship,Handwerk & DIY,35.1K,/vi/images/creators/schreinerin_mara.jpeg,,"German carpenter and DIY creator known for transforming old buildings into dream spaces; advocates for women in trades and co-hosts the ""Baustellen-Beichten"" podcast.","TikTok, Instagram",8.9K,26.2K,,,,,30%,70%,"25-34:40%, 18-24:35%, 35-44:15%","Germany:94%, Austria:3%, Switzerland:3%"
14,Tischlerimkopf,@tischlerimkopf,Craftsmanship,Handwerk & DIY,64.7K,/vi/images/creators/tischlerimkopf.png,,"Master carpenter who shares practical woodworking tutorials and insights into the craft. Active on TikTok, Instagram, and YouTube, he offers tips on tools, techniques, and the realities of the trade, aiming to inspire both professionals and DIY enthusiasts.","Instagram, YouTube",,47.8K,16.9K,,,,78%,22%,"25-34:50%, 35-44:20%, 18-24:15%","Germany:96%, Austria:2%, Switzerland:2%"
15,Der Landwerker,@derlandwerker,Craftsmanship,Handwerk & DIY,59.5K,/vi/images/creators/der_landwerker.png,,Instagram,,59.5K,,,,,85%,15%,"25-34:45%, 35-44:35%, 45+:10%","Germany:98%, Austria:1%, Switzerland:1%"
16,Alaeddin68,@alaeddin68,Entertainment / Comedy,Entertainment,1.4M,/vi/images/creators/alaeddin68.jpeg,,"Comedy creator known for his humorous TikToks and Instagram content, sharing relatable life hacks and sketches. ","TikTok, Instagram, YouTube",865K,103K,481K,,,,55%,45%,"13-17:45%, 18-24:35%, 25-34:10%","Germany:85%, Turkey:10%, Austria:3%"
17,Anna_mclean,@anna_mclean,Travel / DIY,Handwerk & DIY,346.9K,/vi/images/creators/anna_mclean.jpeg,,"Content creator specializing in DIY, home improvement, lifestyle projects and hacks. With over 1.1 million followers on TikTok, he shares humorous and relatable tutorials on topics like drywall installation, acoustic paneling, and custom furniture builds. His engaging approach resonates with audiences seeking practical and entertaining home project inspiration.","TikTok, Instagram, YouTube",231K,15.9K,100K,,,,40%,60%,"18-24:50%, 25-34:30%, 13-17:10%","Germany:90%, Austria:5%, Switzerland:5%"
18,Bianci0409,@bianci0409,Lifestyle,Lifestyle & Health,351K,/vi/images/creators/bianci0409.jpeg,,"Momfluencer sharing authentic family moments, lifestyle insights, and candid discussions with her brother Julian Claßen.",Instagram,,351K,,,,,5%,95%,"25-34:55%, 35-44:30%, 18-24:10%","Germany:94%, Austria:4%, Switzerland:2%"
19,Bluebrywow,@bluebrywow,Tech,Tech,1.4M,/vi/images/creators/bluebrywow.jpeg,,"Tech creator known for smartphone hacks, app tips, and viral gadget content, with a strong presence on TikTok and Instagram.","TikTok, Instagram, YouTube",1.1M,223K,63.1K,,,,65%,35%,"13-17:50%, 18-24:30%, 25-34:10%","Germany:82%, USA:10%, UK:3%"
20,Crackingchris,@crackingchris,Health / Sports ,Lifestyle & Health,1.1M,/vi/images/creators/crackingchris.jpeg,,"Physiotherapist and creator sharing manual therapy techniques, self-help tips, and humorous content on body wellness.","TikTok, Instagram, YouTube",497.6K,529K,36.3K,,,,50%,50%,"25-34:45%, 35-44:25%, 18-24:20%","Germany:88%, Austria:6%, Switzerland:6%"
21,Dasistjay,@dasistjay,Tech,Tech,1.4M,/vi/images/creators/dasistjay.jpeg,,"Tech creator producing engaging short-form videos on smartphones, gadgets, and digital trends. He shares tech insights and tutorials across TikTok, Instagram, and YouTube.","TikTok, Instagram, YouTube",1M,89.2K,306K,,,,80%,20%,"18-24:45%, 13-17:35%, 25-34:15%","Germany:85%, Austria:7%, Switzerland:5%"
22,Der Schaeng,@derschaeng,Entertainment / Comedy,Entertainment,417K,/vi/images/creators/derschaeng.jpeg,,"Creates comedic skits and relatable everyday content with a local twist, known for his witty take on German culture.","TikTok, Instagram",304K,113K,,,,,60%,40%,"18-24:50%, 25-34:25%, 13-17:15%","Germany:97%, Austria:2%, Switzerland:1%"
23,FahrlehrerLukas,@fahrlehrerlukas,Infotainment / Education,Lifestyle & Health,1.3M,/vi/images/creators/fahrlehrerlukas.jpeg,,"Lukas, known as @fahrlehrerlukas, is a driving instructor and content creator from Heidelberg. He shares humorous and educational videos on driving lessons, exam tips, and everyday traffic situations across TikTok, Instagram, and YouTube. His engaging content has garnered him a substantial following, making him a popular figure in driving education.","TikTok, Instagram, YouTube",737.1K,421K,177K,,,,55%,45%,"13-17:60%, 18-24:30%, 25-34:5%","Germany:94%, Austria:4%, Switzerland:2%"
24,iliasbsd,@iliasbsd,Tech,Tech,286.4K,/vi/images/creators/iliasbsd.jpeg,,"Ilias, known as @iliasbsd, is a tech creator producing engaging short-form videos on smartphones, gadgets, and digital trends. He shares tech insights and tutorials across TikTok, Instagram, and YouTube.","TikTok, Instagram, YouTube",204K,59.9K,22.5K,,,,82%,18%,"18-24:55%, 13-17:30%, 25-34:10%","Germany:88%, Austria:6%, Switzerland:4%"
25,JenlovesTech,@jenlovestech,Tech,Tech,25.4K,/vi/images/creators/jenlovestech.jpeg,,"Jen, known as @jen_loves_tech, is a leading female tech creator in the German market, offering clear and relatable gadget reviews and smartphone tips that stand out in a male-dominated tech space.","TikTok, Instagram, YouTube",1.1K,2.5K,21.8K,,,,15%,85%,"18-24:40%, 25-34:35%, 35-44:15%","Germany:92%, Austria:4%, Switzerland:4%"
26,Julienco_,@julienco_,Entertainment / Comedy,Entertainment,13.2M,/vi/images/creators/julienco_.jpeg,,"One of Germany’s leading creators, famous for his humorous lifestyle content, pranks, and vlogs. With millions of followers across Instagram and TikTok, he has built a strong, authentic connection with a wide audience. Julienco is recognized for blending entertainment with personal storytelling, making him a prominent figure in the German social media landscape. Beyond content creation, he is also an entrepreneur, launching successful ventures like Juizy Wow.","TikTok, Instagram, YouTube",3.1M,6.3M,3.9M,,,,48%,52%,"18-24:45%, 13-17:30%, 25-34:20%","Germany:90%, Austria:5%, Switzerland:5%"
27,Kirafin,@kirafin,Entertainment,Entertainment,1.9M,/vi/images/creators/kirafin.jpeg,,"Creator and social media strategist with over 1.3M TikTok followers. Known for humorous pranks, challenges, and trend analysis, he stands out with his sharp, satirical style. ","TikTok, Instagram, YouTube",1.3M,93.5K,468K,,,,52%,48%,"13-17:50%, 18-24:35%, 25-34:10%","Germany:88%, Austria:6%, Switzerland:4%"
28,Lucylacht,@lucylacht,DIY/Lifestyle,Handwerk & DIY,2.4M,/vi/images/creators/lucylacht.jpeg,,"known for her positive and creative content, including DIY projects, lifestyle, fitness, and relationship topics. She first gained attention with her tufting rug DIYs and has since built a loyal community. She combines authenticity and approachability to stand out in the content space.","TikTok, Instagram, YouTube",1.8M,246K,395K,,,,12%,88%,"18-24:50%, 13-17:25%, 25-34:20%","Germany:92%, Austria:4%, Switzerland:4%"
29,Mariusfuxs,@mariusfuxs,Tech,Tech,349.5K,/vi/images/creators/mariusfuxs.jpeg,,"Tech creator and entrepreneur who gained prominence on TikTok with over 297,000 followers. He specializes in simplifying complex tech topics, offering gadget reviews, automation tips, and digital lifestyle insights. Marius has expanded his influence through YouTube and Instagram, where he shares in-depth content and engages with his audience. ","TikTok, Instagram, YouTube",297.3K,36.2K,16K,,,,85%,15%,"18-24:45%, 25-34:35%, 35-44:10%","Germany:90%, Austria:5%, Switzerland:5%"
30,Michafritz,@michafritz,Education / Politics,Lifestyle & Health,320K,/vi/images/creators/michafritz.jpeg,,"Michael Fritz (@michafritz) is a conceptual activist and co-founder of Viva con Agua, a global network improving access to clean water and sanitation for millions since 2006. The organization operates on a ""All Profit"" model, ensuring shared benefits for everyone involved.","TikTok, Instagram",244K,76K,,,,,50%,50%,"25-34:40%, 35-44:35%, 45+:15%","Germany:95%, Austria:3%, Switzerland:2%"
31,Moris.odndhl,@moris.odndhl,Craftsmanship,Handwerk & DIY,828.7K,/vi/images/creators/moris_odndhl.jpeg,,"German roofer and comedian who blends craftsmanship with humor. As a journeyman roofer and aspiring master, he creates comedic sketches that depict everyday situations in the roofing and construction industry. ","TikTok, Instagram, YouTube",518.2K,219K,91.5K,,,,88%,12%,"18-24:45%, 25-34:35%, 13-17:10%","Germany:96%, Austria:2%, Switzerland:2%"
33,Paulascakefactory,@paulascakefactory,Craftsmanship,Handwerk & DIY,12.5K,/vi/images/creators/paulascakefactory.jpeg,,"Paula, known as @paulascakefactory, is a German pastry chef and content creator specializing in vintage-style cakes. She shares baking tutorials and offers digital guides and recipes through her online shop, catering to both aspiring and experienced bakers.",Instagram,,12.5K,,,,,5%,95%,"25-34:60%, 35-44:25%, 18-24:10%","Germany:98%, Austria:1%, Switzerland:1%"
34,Paulherter,@paulherter,Tech,Tech,211.6K,/vi/images/creators/paulherter.jpeg,,"Tech creator and podcaster known for accessible insights on smart technology and digital trends; co-host of the ""AirTech"" podcast.","TikTok, Instagram, YouTube",186.4K,10.5K,14.7K,,,,82%,18%,"18-24:50%, 25-34:35%, 35-44:10%","Germany:95%, Austria:3%, Switzerland:2%"
35,Rafaelneugart,@rafaelneugart,Lifestyle / Comedy,Entertainment,2.3M,/vi/images/creators/rafaelneugart.png,,"Creator celebrated for his dynamic blend of comedy, adventure, and lifestyle content. With over 1.4 million subscribers on YouTube and more than 850,000 followers on Instagram, he captivates a broad audience with his engaging videos and authentic storytelling. ","TikTok, Instagram, YouTube",35.6K,835K,1.4M,,,,58%,42%,"18-24:45%, 13-17:35%, 25-34:15%","Germany:90%, Austria:5%, Switzerland:5%"
36,RGBCEM,@rgbcem,Tech,Tech,1.1M,/vi/images/creators/rgbcem.jpeg,,"German creator specializing in tech and gaming content, sharing practical PC tips and gaming setup guides with engaging and humorous style.","TikTok, Instagram, YouTube",972.2K,63.6K,113K,,,,88%,12%,"13-17:55%, 18-24:30%, 25-34:10%","Germany:88%, Austria:7%, Switzerland:5%"
37,Schliingeel,@schliingeel,Entertainment / Education,Entertainment,2.3M,/vi/images/creators/schliingeel.jpeg,,"German content creator known for engaging and humorous videos featuring optical illusions, fun facts, and relatable scenarios; active on TikTok, Instagram, and YouTube.","TikTok, Instagram, YouTube",1.5M,178K,585K,,,,55%,45%,"13-17:60%, 18-24:25%, 25-34:10%","Germany:92%, Austria:4%, Switzerland:4%"
38,Sinyas.thecookingdad,@sinyas.thecookingdad,Cooking,Lifestyle & Health,688K,/vi/images/creators/sinyas_thecookingdad.png,,"German creator known for engaging cooking tutorials, blending humor and music.","TikTok, Instagram",601K,87K,,,,,48%,52%,"25-34:45%, 35-44:30%, 18-24:15%","Germany:94%, Austria:3%, Switzerland:3%"
40,Sophiatokk,@sophiatokk,Entertainment,Entertainment,258.4K,/vi/images/creators/sophiatokk.jpeg,,"German content creator known for humorous and relatable videos on everyday topics.","TikTok, Instagram",219K,39.4K,,,,,15%,85%,"18-24:55%, 13-17:25%, 25-34:15%","Germany:95%, Austria:3%, Switzerland:2%"
41,Spybas,@spybas,Entertainment / Education,Entertainment,1.5M,/vi/images/creators/spybas.jpeg,,"Creator who combines humor with educational content across TikTok, Instagram, and YouTube. With over 1.2 million followers on TikTok, he engages audiences through comedic skits, experiments, and relatable life scenarios, aiming to make scientific topics accessible and entertaining.","TikTok, Instagram, YouTube",1.2M,47.2K,280K,,,,62%,38%,"13-17:50%, 18-24:35%, 25-34:10%","Germany:90%, Austria:5%, Switzerland:5%"
42,TikTokTechnik,@tiktoktechnik,Tech,Tech,1.8M,/vi/images/creators/tiktoktechnik.jpeg,,"Tech creator known for delivering concise and practical tips on smartphones, apps, and gadgets. With over 1.2 million followers on TikTok and a significant presence on Instagram, he shares content that includes iPhone hacks, app recommendations, and gadget reviews. His engaging and informative style resonates with a broad audience seeking accessible tech insights.","TikTok, Instagram, YouTube",1.2M,395K,163K,,,,85%,15%,"18-24:45%, 25-34:30%, 13-17:15%","Germany:88%, Austria:7%, Switzerland:5%"
43,Mike Imos,@mikeimos,Craftsmanship ,Handwerk & DIY,163K,https://ui-avatars.com/api/?name=Mike%20Imos&background=random,,TikTok,163K,,,,,,,75%,25%,"25-34:45%, 18-24:35%, 35-44:15%","Germany:96%, Austria:2%, Switzerland:2%"
44,Dachdeckerin Fabienne,@dachdeckerinfabienne,Craftsmanship ,Handwerk & DIY,33K,https://ui-avatars.com/api/?name=Dachdeckerin%20Fabienne&background=random,,TikTok,33K,,,,,,,35%,65%,"18-24:50%, 25-34:30%, 35-44:10%","Germany:95%, Austria:3%, Switzerland:2%"
45,Rene Lang,@renelang,Craftsmanship ,Handwerk & DIY,146K,https://ui-avatars.com/api/?name=Rene%20Lang&background=random,,TikTok,146K,,,,,,,82%,18%,"25-34:50%, 35-44:30%, 18-24:10%","Germany:97%, Austria:2%, Switzerland:1%"
